CustomerID,Gender,Age,Subscription_Type,Monthly_Bill,Total_Usage_Minutes,Customer_Service_Calls,Past_Due_Days,Churn_Status
CUST0001,Male,34,Prepaid,73068.67,103,4,5,No
CUST0002,Female,26,Postpaid,83542.17,699,5,15,No
CUST0003,Male,50,Prepaid,193598.43,614,3,23,Yes
CUST0004,Male,37,Postpaid,135956.21,93,4,26,Yes
CUST0005,Male,30,Postpaid,189909.61,864,0,2,No
CUST0006,Female,45,Prepaid,136274.5,102,4,9,No
CUST0007,Male,46,Postpaid,121903.17,635,1,10,No
CUST0008,Male,30,Postpaid,97059.15,607,4,10,No
CUST0009,Male,63,Prepaid,140955.64,574,5,16,Yes
CUST0010,Female,52,Postpaid,70879.7,726,3,3,No
CUST0011,Male,23,Prepaid,184739.24,151,1,3,No
CUST0012,Male,35,Prepaid,174399.86,841,5,16,Yes
CUST0013,Male,22,Postpaid,97629.72,819,5,8,No
CUST0014,Male,64,Postpaid,192919.63,898,5,18,No
CUST0015,Female,42,Postpaid,173780.12,917,0,4,No
CUST0016,Male,19,Postpaid,149946.03,447,5,21,Yes
CUST0017,Female,27,Postpaid,68264.29,187,0,23,No
CUST0018,Female,47,Postpaid,121735.1,724,5,5,Yes
CUST0019,Female,62,Postpaid,125916.13,970,2,2,No
CUST0020,Male,22,Prepaid,84882.7,436,1,21,No
CUST0021,Female,50,Postpaid,61994.81,160,2,0,No
CUST0022,Male,18,Prepaid,166508.54,663,5,19,Yes
CUST0023,Female,35,Postpaid,68305.26,66,1,21,No
CUST0024,Female,49,Postpaid,139143.61,829,1,15,No
CUST0025,Female,64,Prepaid,190467.38,231,3,22,Yes
CUST0026,Female,28,Postpaid,181415.78,933,2,10,No
CUST0027,Female,38,Postpaid,91662.89,585,3,12,No
CUST0028,Female,43,Prepaid,177717.3,590,1,26,Yes
CUST0029,Female,42,Postpaid,50049.88,220,0,9,No
CUST0030,Female,39,Postpaid,52653.17,458,1,2,No
CUST0031,Male,44,Postpaid,140382.97,789,3,8,No
CUST0032,Male,30,Prepaid,104719.73,427,2,27,No
CUST0033,Female,50,Postpaid,107969.13,237,5,11,Yes
CUST0034,Female,51,Postpaid,134666.16,907,5,22,Yes
CUST0035,Female,58,Postpaid,78767.37,279,2,13,No
CUST0036,Male,52,Postpaid,81763.3,882,5,0,No
CUST0037,Female,18,Prepaid,122690.24,901,5,17,Yes
CUST0038,Male,38,Prepaid,163138.03,168,3,16,Yes
CUST0039,Male,23,Postpaid,142924.66,205,2,26,Yes
CUST0040,Male,45,Postpaid,94603.26,833,4,8,No
CUST0041,Male,34,Prepaid,114550.58,736,0,8,No
CUST0042,Male,22,Prepaid,75599.71,514,0,22,No
CUST0043,Female,48,Postpaid,61194.47,153,5,9,Yes
CUST0044,Female,22,Prepaid,167404.41,653,0,18,No
CUST0045,Female,55,Postpaid,89808.11,747,2,28,Yes
CUST0046,Female,20,Prepaid,76664.96,844,2,14,No
CUST0047,Female,40,Prepaid,153742.71,551,1,4,Yes
CUST0048,Male,54,Prepaid,142707.75,742,1,14,No
CUST0049,Female,54,Prepaid,144978.44,731,0,19,No
CUST0050,Female,27,Postpaid,84334.19,748,4,22,Yes
CUST0051,Male,27,Prepaid,84896.83,224,1,29,Yes
CUST0052,Female,36,Prepaid,83120.39,783,1,24,No
CUST0053,Male,34,Postpaid,76062.89,794,2,27,Yes
CUST0054,Female,38,Prepaid,148358.55,723,4,1,No
CUST0055,Male,31,Prepaid,177202.38,470,5,12,No
CUST0056,Female,26,Postpaid,158647.62,183,0,23,No
CUST0057,Female,63,Prepaid,168814.05,440,1,15,No
CUST0058,Male,18,Postpaid,110719.76,785,4,14,Yes
CUST0059,Male,62,Postpaid,148111.37,550,4,24,Yes
CUST0060,Male,30,Postpaid,103135.44,714,0,9,No
CUST0061,Male,21,Postpaid,128825.69,82,4,13,Yes
CUST0062,Male,18,Prepaid,122245.23,104,4,9,Yes
CUST0063,Male,57,Postpaid,76533.07,568,4,24,Yes
CUST0064,Male,49,Prepaid,108061.81,805,1,13,Yes
CUST0065,Male,51,Prepaid,194573.34,874,0,25,No
CUST0066,Female,45,Prepaid,87287.04,687,4,29,Yes
CUST0067,Female,48,Prepaid,70070.56,61,4,22,Yes
CUST0068,Male,25,Prepaid,112787.09,577,1,8,Yes
CUST0069,Female,56,Prepaid,168550.66,769,0,24,No
CUST0070,Female,43,Prepaid,137322.23,604,2,13,No
CUST0071,Female,51,Prepaid,152146.22,422,1,2,No
CUST0072,Female,20,Prepaid,78454.23,533,0,19,No
CUST0073,Male,29,Prepaid,142842.23,696,4,15,Yes
CUST0074,Female,18,Postpaid,98525.06,277,0,1,No
CUST0075,Male,61,Postpaid,175145.5,672,0,9,No
CUST0076,Female,22,Postpaid,144394.82,356,5,2,Yes
CUST0077,Female,47,Prepaid,79828.44,506,0,10,No
CUST0078,Female,47,Postpaid,59692.5,209,2,10,No
CUST0079,Male,34,Postpaid,56394.98,380,0,20,No
CUST0080,Female,64,Postpaid,105711.29,825,2,20,Yes
CUST0081,Male,40,Prepaid,89877.67,274,4,21,No
CUST0082,Female,32,Prepaid,146913.52,778,2,12,No
CUST0083,Male,54,Prepaid,124900.08,553,4,6,No
CUST0084,Female,38,Prepaid,89902.89,505,4,22,Yes
CUST0085,Male,31,Postpaid,72385.67,94,2,16,No
CUST0086,Male,19,Postpaid,69079.96,263,1,29,Yes
CUST0087,Female,28,Postpaid,179699.06,108,3,1,No
CUST0088,Male,56,Postpaid,86521.7,693,0,11,No
CUST0089,Female,55,Prepaid,147756.6,665,5,24,Yes
CUST0090,Female,51,Prepaid,171602.89,244,3,9,No
CUST0091,Female,55,Prepaid,142112.2,974,0,17,No
CUST0092,Female,51,Postpaid,178934.78,538,0,21,No
CUST0093,Female,35,Prepaid,108859.06,206,4,26,Yes
CUST0094,Female,47,Prepaid,193433.33,659,0,10,No
CUST0095,Female,32,Postpaid,69971.75,275,5,15,Yes
CUST0096,Female,44,Postpaid,65322.43,461,0,16,No
CUST0097,Female,51,Prepaid,148803.82,254,2,18,Yes
CUST0098,Female,55,Prepaid,191424.67,128,3,17,Yes
CUST0099,Female,50,Prepaid,171332.52,173,2,2,Yes
CUST0100,Male,41,Prepaid,61462.53,520,5,20,Yes
CUST0101,Male,32,Prepaid,91905.16,989,0,26,No
CUST0102,Female,47,Prepaid,189547.83,267,5,25,Yes
CUST0103,Female,59,Postpaid,87958.76,565,4,15,Yes
CUST0104,Female,34,Postpaid,167175.56,651,2,5,No
CUST0105,Female,22,Postpaid,173769.83,153,2,24,Yes
CUST0106,Female,46,Prepaid,124317.82,442,1,11,No
CUST0107,Female,21,Postpaid,107952.34,680,0,10,Yes
CUST0108,Female,27,Prepaid,117518.66,694,4,14,No
CUST0109,Female,34,Prepaid,84044.7,873,2,14,No
CUST0110,Male,27,Postpaid,183408.64,657,2,15,No
CUST0111,Female,34,Prepaid,117592.95,483,4,9,No
CUST0112,Male,37,Prepaid,182368.92,380,5,11,Yes
CUST0113,Female,41,Postpaid,65854.02,192,5,27,Yes
CUST0114,Female,22,Postpaid,198241.29,849,0,12,No
CUST0115,Male,51,Postpaid,116490.96,589,1,3,No
CUST0116,Female,23,Prepaid,57174.62,327,2,6,No
CUST0117,Male,19,Postpaid,55703.28,282,1,21,No
CUST0118,Female,30,Postpaid,161931.09,578,5,1,No
CUST0119,Female,60,Prepaid,148855.33,620,5,25,Yes
CUST0120,Male,60,Postpaid,170319.58,139,3,26,No
CUST0121,Female,28,Postpaid,65805.13,541,0,26,No
CUST0122,Male,64,Postpaid,55335.63,248,3,26,Yes
CUST0123,Female,40,Prepaid,126286.89,411,3,14,No
CUST0124,Male,33,Prepaid,108139.28,490,3,7,Yes
CUST0125,Male,48,Prepaid,119292.04,75,0,6,No
CUST0126,Female,28,Prepaid,198738.26,74,0,14,No
CUST0127,Female,33,Postpaid,195612.49,443,4,22,Yes
CUST0128,Male,25,Prepaid,191347.31,556,1,13,No
CUST0129,Female,21,Prepaid,167576.4,350,1,7,No
CUST0130,Female,57,Postpaid,103226.2,388,4,27,Yes
CUST0131,Female,21,Postpaid,111819.64,316,4,11,Yes
CUST0132,Male,42,Postpaid,132442.41,510,5,12,Yes
CUST0133,Male,20,Prepaid,174580.17,742,3,29,Yes
CUST0134,Male,49,Prepaid,60306.92,505,4,10,No
CUST0135,Male,20,Prepaid,113644.53,409,2,16,No
CUST0136,Male,44,Postpaid,62392.65,117,1,28,Yes
CUST0137,Male,46,Postpaid,127198.64,912,4,16,Yes
CUST0138,Male,49,Prepaid,184835.12,461,2,23,Yes
CUST0139,Male,36,Postpaid,167372.74,540,2,3,No
CUST0140,Male,38,Postpaid,84176.36,882,2,20,No
CUST0141,Female,22,Postpaid,196398.63,98,5,7,No
CUST0142,Male,35,Prepaid,150102.56,736,5,4,Yes
CUST0143,Female,45,Postpaid,51564.15,613,2,25,No
CUST0144,Female,59,Postpaid,88312.02,151,5,15,Yes
