feature,importance
TotalCharges,0.16572653466141407
MonthlyCharges,0.16285499253084806
tenure,0.14858902150576347
Contract,0.11502518629869506
OnlineSecurity,0.05847422089292542
TechSupport,0.05355119267194233
PaymentMethod,0.04923572078403087
InternetService,0.031402660124825975
OnlineBackup,0.029140453239145086
gender,0.025238543344387864
PaperlessBilling,0.023861459284075435
Partner,0.021446469044010548
DeviceProtection,0.02077078798541898
MultipleLines,0.020371618072128176
Dependents,0.019774103431911567
SeniorCitizen,0.017644666422603178
StreamingMovies,0.015925484350786428
StreamingTV,0.015523932791079961
PhoneService,0.005442952564007659
